Comp.1;Comp.2;Comp.3;Comp.4;Comp.5;Comp.6;Comp.7;Comp.8;Comp.9;Comp.10;Comp.11;Comp.12
1;1.181;0.878;-0.43;0.06;-0.197;-0.009;0.047;0.017;0.039;-0.036;-0.002;0.004
2;2.528;-0.493;0.11;-0.199;-0.141;0.104;-0.008;-0.008;0;-0.02;-0.004;0.004
3;2.947;0.767;-0.587;-0.011;-0.057;-0.027;0.033;0.025;0.041;0.014;-0.01;0.002
4;1.836;0.736;0.055;-0.48;0.109;-0.041;-0.132;0.035;-0.047;0.001;-0.042;0.008
5;2.338;-0.195;0.275;-0.498;0.016;0.023;0.11;0.001;-0.004;0.05;0.002;0.017
6;1.54;-0.738;-0.305;0.041;-0.002;0.083;0.068;0.008;-0.039;-0.014;0.007;0.012
7;-2.539;-1.04;-0.05;-0.146;0.051;0.007;-0.035;0.023;0;0.036;0.028;0
9;1.479;0.083;0.262;-0.54;0.064;0.053;-0.088;-0.005;-0.006;0.032;0.006;0.001
10;-2.704;0.446;0.038;-0.039;-0.051;-0.022;-0.027;-0.061;0.011;-0.03;0.036;-0.001
11;-5.19;1.304;0.331;0.283;0.102;0.115;0.007;0.021;-0.014;-0.027;0.009;0.016
13;-2.572;0.086;0.357;-0.273;-0.169;-0.012;-0.062;-0.002;-0.035;-0.015;0.063;-0.013
14;2.274;-0.326;0.549;0.33;-0.176;0.012;-0.049;-0.028;0.003;-0.003;0.005;0.012
15;3.154;0.102;-0.148;0.202;0.195;-0.026;-0.031;0.015;0.025;-0.007;-0.015;-0.013
17;3.129;-0.671;0.42;0.138;-0.044;0.006;-0.028;-0.01;-0.044;0.021;-0.004;-0.004
18;2.988;-0.488;-0.199;0.341;-0.03;-0.039;0.023;0.02;0.019;-0.006;0.004;0.005
19;-1.595;-0.355;-0.22;-0.158;0.071;-0.024;-0.049;-0.009;0;0.003;0.001;0.001
20;2.176;-0.71;0.087;0.349;-0.048;0.029;0.002;0.017;0.034;0.002;0.044;0.009
21;0.566;0.768;-0.466;-0.081;-0.025;-0.011;-0.02;0.026;0.04;-0.034;0.011;0.025
23;-2.053;0.14;0.272;-0.235;-0.101;-0.023;-0.008;0.002;0.025;-0.011;0.025;-0.004
24;-8.513;-0.922;-0.152;0.295;0.023;0.024;-0.027;0.02;0.016;-0.005;-0.015;0.027
25;2.756;-0.05;0.159;-0.356;0.007;0.071;-0.115;0.026;0.015;0.013;-0.048;0.012
27;-2.654;-1.709;-0.173;-0.185;0.019;0.096;0.023;0.011;0.041;0.005;0.002;-0.013
30;3.697;-0.44;0.041;0.396;-0.035;-0.061;-0.004;0.012;0.007;0.025;-0.006;0.008
31;1.283;1.375;-0.469;-0.167;0.177;-0.116;-0.028;-0.063;-0.007;0.01;-0.022;0.006
32;-6.843;-0.396;0.082;0.318;-0.025;-0.078;-0.016;0.008;-0.012;0.04;-0.009;0.008
33;-0.094;-0.548;0.272;-0.284;-0.047;-0.132;0.089;-0.024;0.002;0.011;-0.015;-0.027
34;-1.861;0.046;-0.039;-0.197;0.023;-0.07;-0.064;-0.005;-0.017;-0.036;-0.001;-0.004
